candidate_id,population,gate_class,solver_family,mdl_bits,train_bits,raw_bits,holdout_len,alphabet_size,discovery_time_s,alphabet_base,base_seq_id
collatz_k3_c1_b2,S1,neither,ITER,43.34,150.000000,200.00,50,2,600.102,,collatz_k3_c1_b2
collatz_k3_c1_b3,S1,discovered,STEP,43.59,237.744375,316.99,50,3,128.701,,collatz_k3_c1_b3
collatz_k3_c1_b4,S1,neither,FUNC_L,47.53,300.000000,400.00,50,4,600.112,,collatz_k3_c1_b4
collatz_k3_c3_b2,S1,discovered,FUNC_L,47.78,150.000000,200.00,50,2,27.678,,collatz_k3_c3_b2
collatz_k3_c3_b3,S1,neither,NESTED_LOOP,101.72,237.744375,316.99,50,3,601.280,,collatz_k3_c3_b3
collatz_k3_c3_b4,S1,neither,NESTED_LOOP,83.73,300.000000,400.00,50,4,600.102,,collatz_k3_c3_b4
collatz_k3_c5_b2,S1,neither,NESTED_LOOP,97.72,150.000000,200.00,50,2,600.152,,collatz_k3_c5_b2
collatz_k3_c5_b3,S1,neither,STEP,49.99,237.744375,316.99,50,3,600.463,,collatz_k3_c5_b3
collatz_k3_c5_b4,S1,neither,FUNC,44.53,300.000000,400.00,50,4,600.107,,collatz_k3_c5_b4
collatz_k3_c7_b2,S1,neither,FUNC_L,65.34,150.000000,200.00,50,2,600.097,,collatz_k3_c7_b2
collatz_k3_c7_b3,S1,neither,FUNC_L,46.53,237.744375,316.99,50,3,600.107,,collatz_k3_c7_b3
collatz_k3_c7_b4,S1,neither,STEP,51.44,300.000000,400.00,50,4,600.205,,collatz_k3_c7_b4
collatz_k5_c1_b2,S1,neither,NESTED_LOOP,80.56,150.000000,200.00,50,2,600.092,,collatz_k5_c1_b2
collatz_k5_c1_b3,S1,neither,STEP,52.99,237.744375,316.99,50,3,600.110,,collatz_k5_c1_b3
collatz_k5_c1_b4,S1,neither,FUNC_L,55.98,300.000000,400.00,50,4,600.077,,collatz_k5_c1_b4
collatz_k5_c3_b2,S1,neither,NESTED_LOOP,83.73,150.000000,200.00,50,2,600.174,,collatz_k5_c3_b2
collatz_k5_c3_b3,S1,neither,STEP,59.91,237.744375,316.99,50,3,600.527,,collatz_k5_c3_b3
collatz_k5_c3_b4,S1,neither,NESTED_LOOP,83.73,300.000000,400.00,50,4,600.115,,collatz_k5_c3_b4
collatz_k5_c5_b2,S1,discovered,FUNC_L,47.78,150.000000,200.00,50,2,26.312,,collatz_k5_c5_b2
collatz_k5_c5_b3,S1,neither,STEP,58.70,237.744375,316.99,50,3,600.146,,collatz_k5_c5_b3
collatz_k5_c5_b4,S1,neither,NESTED_LOOP,83.73,300.000000,400.00,50,4,600.085,,collatz_k5_c5_b4
collatz_k5_c7_b2,S1,neither,NESTED_LOOP,85.32,150.000000,200.00,50,2,600.093,,collatz_k5_c7_b2
collatz_k5_c7_b3,S1,neither,STEP,51.28,237.744375,316.99,50,3,600.243,,collatz_k5_c7_b3
collatz_k5_c7_b4,S1,neither,STEP,53.61,300.000000,400.00,50,4,600.095,,collatz_k5_c7_b4
collatz_k7_c1_b2,S1,neither,FUNC_L,54.38,150.000000,200.00,50,2,600.061,,collatz_k7_c1_b2
collatz_k7_c1_b3,S1,neither,FUNC_L,49.53,237.744375,316.99,50,3,600.044,,collatz_k7_c1_b3
collatz_k7_c1_b4,S1,neither,STEP,46.84,300.000000,400.00,50,4,600.055,,collatz_k7_c1_b4
collatz_k7_c3_b2,S1,discovered,FUNC_L,47.78,150.000000,200.00,50,2,16.406,,collatz_k7_c3_b2
collatz_k7_c3_b3,S1,neither,FUNC_L,45.53,237.744375,316.99,50,3,600.062,,collatz_k7_c3_b3
collatz_k7_c3_b4,S1,discovered,NESTED_LOOP,116.78,300.000000,400.00,50,4,306.393,,collatz_k7_c3_b4
collatz_k7_c5_b2,S1,discovered,FUNC_L,47.78,150.000000,200.00,50,2,16.092,,collatz_k7_c5_b2
collatz_k7_c5_b3,S1,neither,STEP,51.28,237.744375,316.99,50,3,600.045,,collatz_k7_c5_b3
collatz_k7_c5_b4,S1,discovered,NESTED_LOOP,116.78,300.000000,400.00,50,4,276.256,,collatz_k7_c5_b4
collatz_k7_c7_b2,S1,discovered,FUNC_L,47.78,150.000000,200.00,50,2,16.475,,collatz_k7_c7_b2
collatz_k7_c7_b3,S1,neither,FUNC_L,55.73,237.744375,316.99,50,3,600.165,,collatz_k7_c7_b3
collatz_k7_c7_b4,S1,discovered,NESTED_LOOP,116.78,300.000000,400.00,50,4,377.788,,collatz_k7_c7_b4
collatz_k9_c1_b2,S1,neither,FUNC_L,53.98,150.000000,200.00,50,2,600.120,,collatz_k9_c1_b2
collatz_k9_c1_b3,S1,neither,FUNC_L,48.53,237.744375,316.99,50,3,600.100,,collatz_k9_c1_b3
collatz_k9_c1_b4,S1,neither,STEP,61.14,300.000000,400.00,50,4,600.081,,collatz_k9_c1_b4
collatz_k9_c3_b2,S1,discovered,FUNC_L,47.78,150.000000,200.00,50,2,32.971,,collatz_k9_c3_b2
collatz_k9_c3_b3,S1,neither,NESTED_LOOP,83.73,237.744375,316.99,50,3,600.122,,collatz_k9_c3_b3
collatz_k9_c3_b4,S1,neither,NESTED_LOOP,83.73,300.000000,400.00,50,4,600.126,,collatz_k9_c3_b4
collatz_k9_c5_b2,S1,neither,NESTED_LOOP,83.73,150.000000,200.00,50,2,600.085,,collatz_k9_c5_b2
collatz_k9_c5_b3,S1,neither,STEP,57.02,237.744375,316.99,50,3,600.097,,collatz_k9_c5_b3
collatz_k9_c5_b4,S1,neither,NESTED_LOOP,62.81,300.000000,400.00,50,4,600.080,,collatz_k9_c5_b4
